country,year,production,lat,lng
Netherlands,2022,118810.85,52.1326,5.2913
Poland,2022,164586.6237,51.9194,19.1451
Portugal,2022,48755.3578,39.3999,-8.2245
Romania,2022,51137.5031,45.9432,24.9668
Slovakia,2022,25120.8043,48.669,19.699
Slovenia,2022,12783.0002,46.1512,14.9955
Spain,2022,283770.6627,40.4637,-3.7492
Sweden,2022,172616.7167,60.1282,18.6435
EU27,2022,2700098.6,,
Austria,2023,72700.1471,47.5162,14.5501
Belgium,2023,80700.1001,50.5039,4.4699
Bulgaria,2023,36898.8686,42.7339,25.4858
Croatia,2023,17002.8,45.1,15.2
Cyprus,2023,5087.0961,35.1264,33.4299
Czechia,2023,71054.837,49.8175,15.473
Denmark,2023,32888.738,56.2639,9.5018
Estonia,2023,4901.1002,58.5953,25.0136
Finland,2023,78300.9879,61.9241,25.7482
France,2023,501202.5196,46.6034,1.8883
Germany,2023,488501.9019,51.1657,10.4515
Greece,2023,49386.926,39.0742,21.8243
Hungary,2023,33758.522,47.1625,19.5033
Ireland,2023,30982.6309,53.4129,-8.2439
Italy,2023,256516.9136,41.8719,12.5674
Latvia,2023,6133.0625,56.8796,24.6032
Lithuania,2023,5705.9,55.1694,23.8813
Luxembourg,2023,2504.518,49.8153,6.1296
Malta,2023,2295.884,35.9375,14.3754
Netherlands,2023,117533.9139,52.1326,5.2913
Poland,2023,154479.7802,51.9194,19.1451
Portugal,2023,48464.529,39.3999,-8.2245
Romania,2023,53268.1121,45.9432,24.9668
Slovakia,2023,27165.0,48.669,19.699
Slovenia,2023,15130.2079,46.1512,14.9955
Spain,2023,277103.1341,40.4637,-3.7492
Sweden,2023,163109.0001,60.1282,18.6435
EU27,2023,2632777.131,,
Austria,2024,30349.0361,47.5162,14.5501
Belgium,2024,18518.7758,50.5039,4.4699
Bulgaria,2024,17607.9907,42.7339,25.4858
Croatia,2024,7582.711,45.1,15.2
Cyprus,2024,29173.8756,35.1264,33.4299
Czechia,2024,39972.0384,49.8175,15.473
Denmark,2024,13809.5425,56.2639,9.5018
Estonia,2024,5196.1302,58.5953,25.0136
Finland,2024,62985.2823,61.9241,25.7482
France,2024,220673.4047,46.6034,1.8883
Germany,2024,175041.4926,51.1657,10.4515
Greece,2024,64606.0018,39.0742,21.8243
Hungary,2024,32769.6261,47.1625,19.5033
Ireland,2024,63184.8179,53.4129,-8.2439
Italy,2024,65222.764,41.8719,12.5674
Latvia,2024,14679.9528,56.8796,24.6032
Lithuania,2024,7952.8889,55.1694,23.8813
Luxembourg,2024,6662.9436,49.8153,6.1296
Malta,2024,31471.4055,35.9375,14.3754
Netherlands,2024,41852.9257,52.1326,5.2913
Poland,2024,55659.4034,51.9194,19.1451
Portugal,2024,20964.4438,39.3999,-8.2245
Romania,2024,27174.915,45.9432,24.9668
Slovakia,2024,16330.7379,48.669,19.699
Slovenia,2024,14695.6603,46.1512,14.9955
Spain,2024,74407.0136,40.4637,-3.7492
Sweden,2024,60153.7287,60.1282,18.6435
EU27,2024,1218699.509,,
